"date","dividend"
"07-05-1999",0.928697
"16-05-2014",4.705398
"06-04-2000",0.99061
"21-03-2007",2.724178
"16-05-1997",0.804871
"02-07-2020",6.5
"05-05-2011",3.96244
"01-06-2006",2.476525
"23-05-2003",1.238263
"12-05-2005",1.857394
"11-06-2021",7
"06-05-1998",0.866784
"10-05-2013",4.457745
"02-08-2019",6.438965
"08-05-2015",4.95305
"16-10-2009",3.219483
"24-05-1996",0.742958
"26-04-2001",1.052523
"23-10-2002",1.176349
"08-05-2008",3.219483
"10-05-2010",3.467135
"31-05-2012",4.210093
"27-06-2018",5.94366
"20-05-2004",1.300176
"17-03-2016",5.200703
"13-07-2017",5.448355
